Date,Death_Rate,New_Cases_Smooth,New_Death_Smooth
5/18/2022,0.012023099,496410,1594
5/19/2022,0.012014896,486042,1581
5/20/2022,0.012006462,480900,1574
5/21/2022,0.012001757,477635,1604
5/22/2022,0.011996944,471349,1601
5/23/2022,0.011990058,453543,1559
5/24/2022,0.011981925,449158,1530
5/25/2022,0.011974379,433428,1559
5/26/2022,0.011967064,423459,1500
5/27/2022,0.011959832,415699,1490
5/28/2022,0.011956218,403700,1424
5/29/2022,0.011952542,395048,1403
5/30/2022,0.011946929,384352,1365
5/31/2022,0.011937389,390676,1329
6/1/2022,0.011927609,398678,1250
6/2/2022,0.011920229,400798,1264
6/3/2022,0.011912338,399814,1197
6/4/2022,0.011909399,396597,1206
6/5/2022,0.011906116,394256,1205
6/6/2022,0.011899167,399574,1163
6/7/2022,0.011890442,402577,1253
6/8/2022,0.011880903,407077,1317
6/9/2022,0.011872257,414824,1307
6/10/2022,0.011864434,416123,1321
6/11/2022,0.011861273,418157,1326
6/12/2022,0.011858507,413240,1304
6/13/2022,0.011850427,421582,1312
